model,target,logloss,brier,ece,prauc,rmse,mae,crps,seed
M_SB,wicket,0.27446979800121935,0.07214387535620517,0.0021528900625327127,0.08721933062113849,,,,2
M_SW,wicket,0.2776083651020306,0.07215442756669598,0.002157152495390282,0.08791553789296805,,,,2
M_SBW,wicket,0.2774765083024038,0.07226025795197542,0.0029547723304617496,0.08340196927933166,,,,2
M_SBW+P,wicket,0.274142242602545,0.07214622039175922,0.0021361957179860374,0.08693113558181426,,,,2
M_SBW+P+H,wicket,0.2741725845732493,0.072152472481763,0.0015444859826617876,0.0857943650593129,,,,2
M0,wicket,0.27484118906910027,0.07225243772440977,0.0,0.07839881134466635,,,,2
M_S,runs,,,,,1.6875529464124572,1.2556898157964906,,2
M_SB,runs,,,,,1.691651466363341,1.244332169163514,,2
M_SW,runs,,,,,1.6904840935582148,1.248871418604773,,2
M_SBW,runs,,,,,1.6932853308464222,1.2428302907810964,,2
M_SBW+P,runs,,,,,1.6916913044788922,1.2413514307970053,,2
M_SBW+P+H,runs,,,,,1.6853899045201357,1.2308362990685802,,2
M_mult,runs,,,,,1.6910507740473641,1.2397896059008329,0.8163033479321778,2
M0,runs,,,,,1.728349846892752,1.2911701249593046,,2
M_S,wicket,0.2739393228255826,0.07214784624404544,0.0031707082438651836,0.08981266107074515,,,,3
M_SB,wicket,0.27412727990221886,0.07214841450617122,0.0024461490033429456,0.08608979494486757,,,,3
M_SW,wicket,0.2737503514101489,0.07208958392259306,0.0017420163672332704,0.08912195203289164,,,,3
M_SBW,wicket,0.2744313272988436,0.07219326181943932,0.002360277405615677,0.08435265301732106,,,,3
M_SBW+P,wicket,0.274358250621018,0.07218076240227474,0.0018391161959007557,0.08435491654910465,,,,3
M_SBW+P+H,wicket,0.2739854100937443,0.07212303986295217,0.0028922160660857133,0.08673501566148546,,,,3
M0,wicket,0.27484118906910027,0.07225243772440977,0.0,0.07839881134466635,,,,3
M_S,runs,,,,,1.6874189325753812,1.254726576237316,,3
