target,metric,added,incr_skill,ci_lo,ci_hi
wicket,logloss,B|S,-0.00033410616733026144,-0.0009699568007202342,0.0003589340973160617
wicket,logloss,W|S,0.00023676089323537708,-0.0003501621632721622,0.0008232969226525554
wicket,logloss,BW|S,-0.00033404970290584757,-0.0012784118743994378,0.0006188246733775933
runs,rmse,B|S,-0.005311438011333491,-0.008893872487273153,-0.0019211438858929787
runs,rmse,W|S,-0.002714089585512669,-0.0049555656145073065,-0.0005639867436047441
runs,rmse,BW|S,-0.00491710094262876,-0.008400024570233278,-0.001532098896497103
