unit,success_def,direction,k,D_naive,D_corrected,gap,mean_bias,n_seq,p_uncond,p_strat,p_bh
batter_stay,score,hot,1,-0.11438867186651927,0.006755437277110979,0.12114410914363025,-0.12114410914363027,1760,0.47976011994003,0.40229885057471265,0.9995002498750626
batter_stay,score,hot,2,-0.15560671841424373,0.06896843288697985,0.22457515130122357,-0.22457515130122357,571,0.18940529735132433,0.09645177411294353,0.5787106446776612
batter_stay,score,hot,3,-0.22153996101364523,0.06860531432279696,0.2901452753364422,-0.2901452753364422,129,0.0004997501249375312,0.736631684157921,0.9995002498750626
batter_stay,score,cold,1,0.09020801438957786,0.0018571392653108497,-0.08835087512426701,0.08835087512426698,1918,0.01249375312343828,0.696151924037981,0.9995002498750626
batter_stay,score,cold,2,0.13848635379352867,-0.047013511807026565,-0.18549986560055523,0.18549986560055523,796,0.2353823088455772,0.3818090954522739,0.9995002498750626
batter_stay,score,cold,3,0.21473247328810244,-0.03300910466215875,-0.2477415779502612,0.24774157795026117,298,0.0004997501249375312,0.9720139930034982,0.9995002498750626
batter_stay,boundary,hot,1,-0.1309331139693062,-0.003704432516941807,0.1272286814523644,-0.12722868145236438,1354,0.07846076961519241,0.6976511744127936,0.9995002498750626
batter_stay,boundary,hot,2,-0.16608696909243356,0.07122149293586448,0.23730846202829803,-0.23730846202829806,354,0.5227386306846576,0.527736131934033,0.9995002498750626
batter_stay,boundary,hot,3,-0.31353698712189276,-0.0001899108875109145,0.31334707623438185,-0.31334707623438185,74,0.0004997501249375312,0.9995002498750625,0.9995002498750626
batter_stay,boundary,cold,1,0.03785058592845774,0.006945206149129043,-0.030905379779328696,0.030905379779328692,1512,0.0009995002498750624,0.005997001499250375,0.07196401799100449
batter_stay,boundary,cold,2,0.06707985237769874,-6.239076841863165e-05,-0.06714224314611737,0.06714224314611737,1317,0.13693153423288357,0.9980009995002499,0.9995002498750626
batter_stay,boundary,cold,3,0.09347439001339257,-0.014931582253453164,-0.10840597226684573,0.10840597226684573,1064,0.6211894052973513,0.848575712143928,0.9995002498750626
