identity_feature,r2_vs_state
bat_deathSR,0.169197457398778
bat_boundary_pct,0.15094806594056054
bat_dot_pct,0.1467619477593819
bat_dismissal_rate,0.020310927544254342
bat_n_prior_balls,0.11101083493444885
bowl_deathER,0.0732500831107723
bowl_dot_pct,0.03876747898758248
bowl_wicket_rate,0.008685780075756822
bowl_boundary_conceded_pct,0.08313708235246198
bowl_n_prior_balls,0.07722515785781403
